mes,municipio,repasse_sefaz,repasse_liquido_sefaz,fundeb_sefaz
Fevereiro,Ibicuitinga,1056983.07,845587.74,211395.33
Fevereiro,Icapuí,3306939.4,2645552.79,661386.61
Fevereiro,Icó,1233042.8,986435.74,246607.06
Fevereiro,Iguatu,2887389.53,2309912.6,577476.93
Fevereiro,Independência,918015.53,734413.58,183601.95
Fevereiro,Ipaporanga,992471.69,793978.52,198493.17
Fevereiro,Ipaumirim,1067488.91,853992.31,213496.6
Fevereiro,Ipu,920440.24,736353.18,184087.06
Fevereiro,Ipueiras,1090207.36,872166.7,218040.66
Fevereiro,Iracema,1037552.22,830043.09,207509.13
Fevereiro,Irauçuba,893369.71,714696.58,178673.13
Fevereiro,Itaitinga,4975363.13,3980291.2,995071.93
Fevereiro,Itaiçaba,937221.22,749778.76,187442.46
Fevereiro,Itapajé,1012218.71,809775.95,202442.76
Fevereiro,Itapipoca,2568244.71,2054596.76,513647.95
Fevereiro,Itapiúna,804957.45,643967.14,160990.31
Fevereiro,Itarema,1704462.18,1363570.46,340891.72
Fevereiro,Itatira,1073166.57,858534.3,214632.27
Fevereiro,Jaguaretama,1012263.69,809811.75,202451.94
Fevereiro,Jaguaribara,911401.63,729122.54,182279.09
Fevereiro,Jaguaribe,1417936.95,1134350.78,283586.17
Fevereiro,Jaguaruana,1414296.21,1131438.12,282858.09
Fevereiro,Jardim,728430.37,582745.44,145684.93
Fevereiro,Jati,658100.37,526481.66,131618.71
Fevereiro,Jijoca De Jericoacoara,1390826.14,1112661.74,278164.4
Fevereiro,Juazeiro Do Norte,6870989.67,5496792.51,1374197.16
Fevereiro,Jucás,1136547.1,909238.94,227308.16
Fevereiro,Lavras Da Mangabeira,799245.21,639396.82,159848.39
Fevereiro,Limoeiro Do Norte,3177828.4,2542263.62,635564.78
Fevereiro,Madalena,1162822.27,930258.81,232563.46
Fevereiro,Maracanaú,25862476.82,20689981.94,5172494.88
Fevereiro,Maranguape,3059634.54,2447708.44,611926.1
Fevereiro,Marco,1148120.24,918497.49,229622.75
Fevereiro,Martinópole,902490.77,721993.79,180496.98
Fevereiro,Massapê,1191758.51,953407.84,238350.67
Fevereiro,Mauriti,1002670.22,802137.21,200533.01
Fevereiro,Meruoca,970791.27,776634.4,194156.87
Fevereiro,Milagres,751110.8,600889.44,150221.36
Fevereiro,Milhã,1361218.82,1088975.74,272243.08
Fevereiro,Miraíma,725689.15,580552.36,145136.79
Fevereiro,Missão Velha,904128.49,723304.03,180824.46
Fevereiro,Mombaça,1112738.73,890192.01,222546.72
