codigo_municipio,municipio,vaf_2023,vaf_2024,media_vaf,indice_vaf,indice_educacao,indice_saude,indice_meio_ambiente,indice_2026
13005,SOLONOPOLE,143782921.6,139521772.45,141652347.02,0.0749385,0.1482644,0.1288456,0.0115101,0.3635586
13104,TABULEIRO DO NORTE,172028773.5,197787638.75,184908206.12,0.0978185,0.0718915,0.1030843,0.0115101,0.2843044
13203,TAMBORIL,42071304.81,52003335.58,47037320.19,0.024882,0.1406392,0.0668704,0.0115101,0.2439017
13252,TARRAFAS,10963344.58,12020453.69,11491899.13,0.0060775,0.093964,0.0910017,0.0115101,0.2025533
13302,TAUA,225701259.31,276690161.98,251195710.64,0.132886,0.1044685,0.1152253,0.0115101,0.3640899
13351,TEJUCUOCA,19740605.02,26294009.99,23017307.5,0.0121745,0.0594927,0.0635501,0.0115102,0.1467275
13401,TIANGUA,847043735.51,920345059.61,883694397.56,0.467493,0.0705548,0.0675827,0.0051797,0.6108102
13500,TRAIRI,764090247.03,930734120.02,847412183.52,0.4482985,0.0863982,0.0681883,0.0,0.602885
13559,TURURU,17652830.36,20162520.63,18907675.49,0.0100035,0.0940742,0.0787688,0.0115102,0.1943567
13609,UBAJARA,346431212.39,388059081.43,367245146.91,0.1942785,0.1268777,0.0639188,0.0057552,0.3908302
13708,UMARI,8709198.88,7959358.55,8334278.71,0.004407,0.1184839,0.0953142,0.0103592,0.2285643
13757,UMIRIM,41865234.37,37540822.66,39703028.51,0.0210015,0.0577917,0.083617,0.0115102,0.1739204
13807,URUBURETAMA,51360962.2,91639044.69,71500003.44,0.0378235,0.0639774,0.0701577,0.0115101,0.1834687
13906,URUOCA,261480971.95,453116278.58,357298625.26,0.18902,0.1460802,0.0817264,0.0115101,0.4283367
13955,VARJOTA,70873026.74,87429398.62,79151212.68,0.041873,0.1522728,0.0639944,0.0115101,0.2696503
14003,VARZEA ALEGRE,149995885.21,180119908.14,165057896.67,0.087321,0.0936639,0.0913548,0.0115101,0.2838498
14102,VICOSA DO CEARA,103464556.55,127771871.77,115618214.16,0.061165,0.0857985,0.0512026,0.0103592,0.2085253
