municipio,municipio_chave,mes,indice_2026,base_icms,repasse_calculado,fundeb_calculado,liquido_calculado,repasse_sefaz,fundeb_sefaz,repasse_liquido_sefaz,diferenca,erro_absoluto,erro_percentual
AMONTADA,AMONTADA,Fevereiro,0.3367715,1670684530.04,1406597.3380209145,281319.4676041829,1125277.8704167316,1406597.1,281318.46,1125278.64,-0.23802091437391937,0.23802091437391937,1.692175494844397e-05
AMONTADA,AMONTADA,Março,0.3367715,1678479898.09,1413160.482499041,282632.0964998082,1130528.3859992328,1413159.62,282631.43,1130528.19,-0.8624990407843143,0.8624990407843143,6.103337716261056e-05
AMONTADA,AMONTADA,Abril,0.3367715,1853353143.2,1560391.295162947,312078.2590325894,1248313.0361303575,1560391.03,312077.82,1248313.21,-0.26516294688917696,0.26516294688917696,1.699336523930011e-05
AMONTADA,AMONTADA,Maio,0.3367715,1854938665.46,1561726.1919374058,312345.2383874812,1249380.9535499248,1561725.77,312343.85,1249381.92,-0.4219374058302492,0.4219374058302492,2.7017381280085377e-05
AMONTADA,AMONTADA,Junho,0.3367715,1934205596.72,1628463.3002894737,325692.66005789477,1302770.640231579,1710178.34,342034.18,1368144.16,81715.03971052635,81715.03971052635,4.778158967358126
ANTONINA DO NORTE,ANTONINA DO NORTE,Janeiro,0.2353762,1923303904.52,1131749.911227701,226349.98224554022,905399.9289821609,1131748.49,226348.33,905400.16,-1.4212277010083199,1.4212277010083199,0.00012557805144571653
ANTONINA DO NORTE,ANTONINA DO NORTE,Fevereiro,0.2353762,1670684530.04,983098.4401990026,196619.68803980053,786478.7521592021,983097.39,196617.99,786479.4,-1.0501990026095882,1.0501990026095882,0.00010682553054174909
ANTONINA DO NORTE,ANTONINA DO NORTE,Março,0.2353762,1678479898.09,987685.5504720287,197537.11009440574,790148.440377623,987684.39,197535.26,790149.13,-1.1604720286559314,1.1604720286559314,0.00011749421580469966
ANTONINA DO NORTE,ANTONINA DO NORTE,Abril,0.2353762,1853353143.2,1090588.0502611797,218117.61005223595,872470.4402089438,1090586.95,218116.28,872470.67,-1.1002611797302961,1.1002611797302961,0.0001008870663389376
ANTONINA DO NORTE,ANTONINA DO NORTE,Maio,0.2353762,1854938665.46,1091521.035772615,218304.20715452303,873216.8286180921,1091520.03,218302.65,873217.38,-1.0057726150844246,1.0057726150844246,9.214421975237822e-05
ANTONINA DO NORTE,ANTONINA DO NORTE,Junho,0.2353762,1934205596.72,1138164.9084367151,227632.98168734304,910531.9267493722,1101024.29,220203.32,880820.97,-37140.6184367151,37140.6184367151,3.373278752707181
APUIARES,APUIARES,Janeiro,0.1499633,1923303904.52,721062.5010617602,144212.50021235205,576850.0008494082,721061.1,144210.62,576850.48,-1.4010617602616549,1.4010617602616549,0.00019430555333821987
APUIARES,APUIARES,Fevereiro,0.1499633,1670684530.04,626353.4134593689,125270.68269187378,501082.7307674951,626352.4,125268.76,501083.64,-1.0134593688417226,1.0134593688417226,0.00016180338238373838
APUIARES,APUIARES,Março,0.1499633,1678479898.09,629275.9612531002,125855.19225062005,503420.7690024802,629275.02,125852.75,503422.27,-0.9412531001726165,0.9412531001726165,0.0001495773819486139
APUIARES,APUIARES,Abril,0.1499633,1853353143.2,694837.3835491114,138967.47670982228,555869.9068392891,694835.76,138965.31,555870.45,-1.6235491114202887,1.6235491114202887,0.00023365940627757684
APUIARES,APUIARES,Maio,0.1499633,1854938665.46,695431.808924944,139086.3617849888,556345.4471399552,695430.56,139083.82,556346.74,-1.2489249439677224,1.2489249439677224,0.00017959017273668878
APUIARES,APUIARES,Junho,0.1499633,1934205596.72,725149.6354065009,145029.92708130018,580119.7083252007,750927.96,150183.9,600744.06,25778.32459349907,25778.32459349907,3.432862533644249
AQUIRAZ,AQUIRAZ,Janeiro,2.0792831,1923303904.52,9997733.262081124,1999546.6524162248,7998186.609664899,9997732.88,1999546.0,7998186.88,-0.3820811230689287,0.3820811230689287,3.821677650872871e-06
AQUIRAZ,AQUIRAZ,Fevereiro,2.0792831,1670684530.04,8684565.271859037,1736913.0543718075,6947652.21748723,8684565.16,1736912.46,6947652.7,-0.11185903660953045,0.11185903660953045,1.2880211564850584e-06
AQUIRAZ,AQUIRAZ,Março,2.0792831,1678479898.09,8725087.21447065,1745017.44289413,6980069.77157652,8725087.22,1745016.64,6980070.58,0.005529351532459259,0.005529351532459259,6.337302302015565e-08
AQUIRAZ,AQUIRAZ,Abril,2.0792831,1853353143.2,9634114.6724691,1926822.9344938202,7707291.737975281,9634114.23,1926822.07,7707292.16,-0.4424690995365381,0.4424690995365381,4.592732543680231e-06
AQUIRAZ,AQUIRAZ,Maio,2.0792831,1854938665.46,9642356.54656883,1928471.309313766,7713885.237255064,9642355.78,1928470.43,7713885.35,-0.7665688302367926,0.7665688302367926,7.950016030592811e-06
AQUIRAZ,AQUIRAZ,Junho,2.0792831,1934205596.72,10054402.52296328,2010880.5045926562,8043522.018370625,9617529.02,1923504.8,7694024.22,-436873.5029632803,436873.5029632803,4.542471377573034
ARACATI,ARACATI,Janeiro,0.9360586,1923303904.52,4500812.900598812,900162.5801197625,3600650.32047905,4500811.86,900161.85,3600650.01,-1.0405988115817308,1.0405988115817308,2.3120246834350697e-05
ARACATI,ARACATI,Fevereiro,0.9360586,1670684530.04,3909646.55557725,781929.3111154501,3127717.2444618004,3909645.66,781928.4,3127717.26,-0.8955772500485182,0.8955772500485182,2.2906864916461972e-05
ARACATI,ARACATI,Março,0.9360586,1678479898.09,3927888.8588356697,785577.771767134,3142311.087068536,3927887.75,785576.21,3142311.54,-1.1088356697000563,1.1088356697000563,2.8229820714709996e-05
ARACATI,ARACATI,Abril,0.9360586,1853353143.2,4337117.871323478,867423.5742646958,3469694.297058783,4337117.16,867421.6,3469695.56,-0.7113234782591462,0.7113234782591462,1.640083613187766e-05
ARACATI,ARACATI,Maio,0.9360586,1854938665.46,4340828.225690889,868165.6451381779,3472662.5805527116,4340827.97,868165.07,3472662.9,-0.2556908894330263,0.2556908894330263,5.8903714037998686e-06
ARACATI,ARACATI,Junho,0.9360586,1934205596.72,4526324.457444719,905264.8914889438,3621059.5659557753,4490063.93,898011.49,3592052.44,-36260.52744471934,36260.52744471934,0.8075726317045855
ARACOIABA,ARACOIABA,Janeiro,0.1875409,1923303904.52,901745.3630679873,180349.07261359747,721396.2904543899,901744.52,180347.38,721397.14,-0.8430679872399196,0.8430679872399196,9.34929981321006e-05
ARACOIABA,ARACOIABA,Fevereiro,0.1875409,1670684530.04,783304.2009494466,156660.84018988934,626643.3607595573,783302.48,156659.56,626642.92,-1.7209494466660544,1.7209494466660544,0.0002197043275882459
ARACOIABA,ARACOIABA,Março,0.1875409,1678479898.09,786959.0767992672,157391.81535985344,629567.2614394138,786958.22,157390.02,629568.2,-0.8567992672324181,0.8567992672324181,0.00010887481005439121
ARACOIABA,ARACOIABA,Abril,0.1875409,1853353143.2,868948.7912338923,173789.75824677848,695159.0329871139,868947.38,173788.05,695159.33,-1.4112338923150674,1.4112338923150674,0.00016240729010714866
ARACOIABA,ARACOIABA,Maio,0.1875409,1854938665.46,869692.1669129184,173938.4333825837,695753.7335303348,869692.09,173936.86,695755.23,-0.07691291847731918,0.07691291847731918,8.843695298794678e-06
ARACOIABA,ARACOIABA,Junho,0.1875409,1934205596.72,906856.6459847647,181371.32919695295,725485.3167878118,973028.43,194603.73,778424.7,66171.78401523537,66171.78401523537,6.8006012954046335
ARARENDA,ARARENDA,Janeiro,0.2408497,1923303904.52,1158067.9210311766,231613.58420623533,926454.3368249413,1158067.25,231611.85,926455.4,-0.6710311765782535,0.6710311765782535,5.794405951625465e-05
ARARENDA,ARARENDA,Fevereiro,0.2408497,1670684530.04,1005959.6696369374,201191.9339273875,804767.73570955,1005958.85,201190.57,804768.28,-0.8196369374636561,0.8196369374636561,8.147817750832016e-05
ARARENDA,ARARENDA,Março,0.2408497,1678479898.09,1010653.4497775176,202130.68995550353,808522.7598220141,1010651.95,202129.28,808522.67,-1.4997775176307186,1.4997775176307186,0.00014839703397700056
ARARENDA,ARARENDA,Abril,0.2408497,1853353143.2,1115948.8713344426,223189.77426688853,892759.0970675541,1115947.73,223188.21,892759.52,-1.1413344426546246,1.1413344426546246,0.00010227490159011522
ARARENDA,ARARENDA,Maio,0.2408497,1854938665.46,1116903.5527361033,223380.71054722066,893522.8421888826,1116902.77,223379.07,893523.7,-0.7827361032832414,0.7827361032832414,7.008095281948681e-05
ARARENDA,ARARENDA,Junho,0.2408497,1934205596.72,1164632.0942708324,232926.4188541665,931705.675416666,1145270.15,229052.97,916217.18,-19361.944270832464,19361.944270832464,1.690600621244906
ARARIPE,ARARIPE,Janeiro,0.1682812,1923303904.52,809139.7225432775,161827.94450865552,647311.7780346221,809138.71,161826.14,647312.57,-1.0125432775821537,1.0125432775821537,0.000125138405203992
ARARIPE,ARARIPE,Fevereiro,0.1682812,1670684530.04,702861.9938414181,140572.39876828363,562289.5950731345,702861.0,140570.94,562290.06,-0.9938414180651307,0.9938414180651307,0.00014139942578477547
ARARIPE,ARARIPE,Março,0.1682812,1678479898.09,706141.5285661572,141228.30571323144,564913.2228529258,706140.18,141225.66,564914.52,-1.3485661571612582,1.3485661571612582,0.0001909771169176718
ARARIPE,ARARIPE,Abril,0.1682812,1853353143.2,779711.2274036696,155942.24548073392,623768.9819229357,779709.49,155940.18,623769.31,-1.7374036696273834,1.7374036696273834,0.00022282705185842786
ARARIPE,ARARIPE,Maio,0.1682812,1854938665.46,780378.2613750184,156075.6522750037,624302.6091000148,780376.71,156073.41,624303.3,-1.5513750184327364,1.5513750184327364,0.00019879822123762975
ARARIPE,ARARIPE,Junho,0.1682812,1934205596.72,813726.0971568942,162745.21943137885,650980.8777255154,862165.02,172430.73,689734.29,48438.92284310586,48438.92284310586,5.618289042056689
ARATUBA,ARATUBA,Janeiro,0.1843676,1923303904.52,886487.3123674538,177297.46247349077,709189.8498939631,886486.27,177296.19,709190.08,-1.0423674538033083,1.0423674538033083,0.00011758416222321281
ARATUBA,ARATUBA,Fevereiro,0.1843676,1670684530.04,770050.2429015067,154010.04858030134,616040.1943212054,770049.23,154008.85,616040.38,-1.0129015067359433,1.0129015067359433,0.00013153724038344187
ARATUBA,ARATUBA,Março,0.1843676,1678479898.09,773643.2761477446,154728.65522954892,618914.6209181957,773640.95,154726.89,618914.06,-2.3261477446649224,2.3261477446649224,0.0003006753642842875
ARATUBA,ARATUBA,Abril,0.1843676,1853353143.2,854245.6774106007,170849.13548212015,683396.5419284806,854244.96,170847.17,683397.79,-0.7174106007441878,0.7174106007441878,8.398183592961296e-05
ARATUBA,ARATUBA,Maio,0.1843676,1854938665.46,854976.4747451576,170995.29494903155,683981.1797961262,854975.56,170993.56,683982.0,-0.914745157584548,0.914745157584548,0.00010699079603919298
ARATUBA,ARATUBA,Junho,0.1843676,1934205596.72,891512.1094345856,178302.42188691712,713209.6875476685,892917.57,178581.8,714335.77,1405.4605654143961,1405.4605654143961,0.15740093068326522
ARNEIROZ,ARNEIROZ,Janeiro,0.175365,1923303904.52,843200.4730403745,168640.0946080749,674560.3784322996,843200.01,168638.31,674561.7,-0.4630403744522482,0.4630403744522482,5.491465476290118e-05
ARNEIROZ,ARNEIROZ,Fevereiro,0.175365,1670684530.04,732448.9815261614,146489.7963052323,585959.1852209292,732447.63,146488.1,585959.53,-1.351526161422953,1.351526161422953,0.00018452188334925091
ARNEIROZ,ARNEIROZ,Março,0.175365,1678479898.09,735866.568321382,147173.31366427641,588693.2546571057,735865.67,147171.13,588694.54,-0.898321382002905,0.898321382002905,0.0001220768162758435
ARNEIROZ,ARNEIROZ,Abril,0.175365,1853353143.2,812533.1848931699,162506.636978634,650026.547914536,812531.97,162505.08,650026.89,-1.21489316993393,1.21489316993393,0.00014951942997811274
ARNEIROZ,ARNEIROZ,Maio,0.175365,1854938665.46,813228.2976709822,162645.65953419646,650582.6381367858,813227.07,162644.24,650582.83,-1.2276709822472185,1.2276709822472185,0.00015096287710235942
ARNEIROZ,ARNEIROZ,Junho,0.175365,1934205596.72,847979.911172007,169595.9822344014,678383.9289376056,833345.26,166667.53,666677.73,-14634.651172006968,14634.651172006968,1.756133006865242
ASSARE,ASSARE,Janeiro,0.2289343,1923303904.52,1100775.5826713827,220155.11653427655,880620.4661371062,1100774.74,220154.4,880620.34,-0.8426713827066123,0.8426713827066123,7.655257266410495e-05
ASSARE,ASSARE,Fevereiro,0.2289343,1670684530.04,956192.4835138409,191238.4967027682,764953.9868110728,956191.65,191236.89,764954.76,-0.8335138409165666,0.8335138409165666,8.7170165198218e-05
ASSARE,ASSARE,Março,0.2289343,1678479898.09,960654.0513332637,192130.81026665276,768523.241066611,960652.52,192128.6,768523.92,-1.5313332637306303,1.5313332637306303,0.00015940553236987607
ASSARE,ASSARE,Abril,0.2289343,1853353143.2,1060740.2612282294,212148.0522456459,848592.2089825836,1060738.83,212146.23,848592.6,-1.4312282293103635,1.4312282293103635,0.00013492748533683484
ASSARE,ASSARE,Maio,0.2289343,1854938665.46,1061647.7123000482,212329.54246000966,849318.1698400386,1061646.92,212328.24,849318.68,-0.7923000482842326,0.7923000482842326,7.462933611527199e-05
ASSARE,ASSARE,Junho,0.2289343,1934205596.72,1107015.0108529388,221403.00217058777,885612.0086823511,1136935.74,227385.49,909550.25,29920.72914706124,29920.72914706124,2.6316992328045945
AURORA,AURORA,Janeiro,0.1929982,1923303904.52,927985.4790633296,185597.09581266594,742388.3832506638,927985.03,185595.31,742389.72,-0.44906332960817963,0.44906332960817963,4.839122562226889e-05
AURORA,AURORA,Fevereiro,0.1929982,1670684530.04,806097.7676639148,161219.55353278297,644878.2141311319,806097.42,161218.87,644878.55,-0.3476639147847891,0.3476639147847891,4.312926777321643e-05
AURORA,AURORA,Março,0.1929982,1678479898.09,809858.9976688835,161971.7995337767,647887.1981351068,809858.11,161970.18,647887.93,-0.8876688835443929,0.8876688835443929,0.00010960795139094092
AURORA,AURORA,Abril,0.1929982,1853353143.2,894234.5515048556,178846.91030097113,715387.6412038845,894232.91,178844.81,715388.1,-1.6415048555936664,1.6415048555936664,0.00018356569493664312
AURORA,AURORA,Maio,0.1929982,1854938665.46,894999.5588604554,178999.9117720911,715999.6470883643,894998.65,178998.33,716000.32,-0.9088604553835467,0.9088604553835467,0.00010154880740697728
AURORA,AURORA,Junho,0.1929982,1934205596.72,933245.4964922147,186649.09929844295,746596.3971937718,992365.88,198471.5,793894.38,59120.38350778527,59120.38350778527,5.957518763924579
BAIXIO,BAIXIO,Janeiro,0.2108047,1923303904.52,1013603.7565029181,202720.75130058362,810883.0052023345,1013602.48,202719.18,810883.3,-1.2765029181027785,1.2765029181027785,0.000125937233115568
BAIXIO,BAIXIO,Fevereiro,0.2108047,1670684530.04,880470.3778743079,176094.0755748616,704376.3022994464,880469.63,176093.5,704376.13,-0.7478743079118431,0.7478743079118431,8.494038663342006e-05
BAIXIO,BAIXIO,Março,0.2108047,1678479898.09,884578.6284322325,176915.72568644653,707662.9027457861,884577.64,176914.11,707663.53,-0.988432232523337,0.988432232523337,0.00011174058531745578
BAIXIO,BAIXIO,Abril,0.2108047,1853353143.2,976738.8833658326,195347.77667316655,781391.1066926662,976738.02,195345.73,781392.29,-0.8633658325998113,0.8633658325998113,8.83927742056986e-05
BAIXIO,BAIXIO,Maio,0.2108047,1854938665.46,977574.4722267392,195514.89444534783,782059.5777813913,977573.06,195513.63,782059.43,-1.4122267391066998,1.4122267391066998,0.00014446252632071302
BAIXIO,BAIXIO,Junho,0.2108047,1934205596.72,1019349.0763872016,203869.81527744033,815479.2611097613,987957.39,197590.01,790367.38,-31391.68638720154,31391.68638720154,3.1774332278846096
BANABUIU,BANABUIU,Janeiro,0.2662871,1923303904.52,1280377.5478832691,256075.50957665383,1024302.0383066153,1280377.26,256074.47,1024302.79,-0.2878832691349089,0.2878832691349089,2.2484253518756566e-05
BANABUIU,BANABUIU,Fevereiro,0.2662871,1670684530.04,1112204.3462980362,222440.86925960725,889763.477038429,1112203.86,222439.88,889763.98,-0.48629803606308997,0.48629803606308997,4.3723822003556966e-05
BANABUIU,BANABUIU,Março,0.2662871,1678479898.09,1117393.861176704,223478.77223534082,893915.0889413633,1117393.02,223477.7,893915.32,-0.8411767040379345,0.8411767040379345,7.52802898337359e-05
